name,location,rank,description,tuition_and_fees,in_state,undergrad_enrollment
Montana State University,"Bozeman, MT",210,"Located in the city of Bozeman, Montana State University offers about 60 areas of study for undergraduate students. The university also offers more than 40 master's programs, including engineering, education and nursing. Montana State University's research facilities include the Plant Growth Center, with about 30 greenhouses, and the Center for Bison and Wildlife Health. Montana State is also home to the Museum of the Rockies, which has, among other exhibits, an extensive collection of dinosaur fossils. Montana State alumna Mary Schweitzer became famous in the paleontology world when she discovered soft tissue in a Tyrannosaurus rex bone. Montana State, often abbreviated to MSU, also offers many student organizations, Greek life and recreational sports. More serious athletes can try out for the blue-and-gold Montana State Bobcats varsity sports teams, which compete in the NCAA Division I Big Sky Conference. Other notable alumni include Jan Stenerud, who went to MSU on a skiing scholarship, joined the Bobcats football team his junior year and became one of the few Pro Football Hall of Fame placekickers. ",23.042,7.031,13707
Old Dominion University,"Norfolk, VA",210,"Originally created as a division of the College of William and Mary, Old Dominion University is now an independent institution in Norfolk, Virginia. Students have more than 100 academic programs to choose from and, outside of class, more than 300 clubs and organizations to consider. Freshmen aren't required to live on campus. The ODU sports teams compete in the NCAA Division I Conference USA. The university is also committed to research, operating the Center for Accelerator Science and the Virginia Modeling, Analysis and Simulation Center. Old Dominion University also offers a wide variety of graduate degree programs, including those in the Strome College of Business and the Darden College of Education. Notable alumni of Old Dominion University include Ben Bailey, former host of the TV game show ""Cash Cab,"" and Jay Harris, ESPN ""SportsCenter"" anchor. ",27.028,10.048,20101
University of Missouri--Kansas City,"Kansas City, MO",210,"At the University of Missouri--Kansas City, students can choose from more than 120 academic programs and majors, including master's degrees from the Henry W. Bloch School of Management and the schools of medicine, computing and engineering, and education. Outside the classroom, UMKC students can explore more than 175 clubs and about 15 Greek-letter organizations. There are about 16 varsity sports teams, named the UMKC Kangaroos, which compete in the NCAA Division I Western Athletic Conference. The university developed the team name in the 1930s, when community excitement about the Kansas City Zoo's purchase of two baby kangaroos grew, and when Walt Disney himself drew a cartoon of the Kasey Kangaroo mascot. Although he never graduated, former President Harry Truman attended the UMKC law school for two years and later received the school's first honorary degree. Today, he is the namesake of the university's Harry S Truman Center for Governmental Affairs. ",22.714,9.551,11253
Ashland University,"Ashland, OH",214,"At Ashland University, undergraduate students have more than 70 options for majors, including actuarial sciences, multi-age education and digital media production. The university is affiliated with the Brethren Church, and worship opportunities are offered on campus through The Well, a Christian movement, and the Newman Catholic Campus Ministry, among other groups. In addition, there are more than 100 student organizations to check out, and many Ashland students opt to join a fraternity or sorority. Student athletes compete as the Ashland Eagles in the NCAA Division II Great Lakes Intercollegiate Athletic Conference. Among the graduate school offerings at Ashland University is the Dwight Schar College of Education. For road trips from campus, Ashland is within driving distance of major Ohio cities, including Akron, Cleveland and Columbus. ",20.392,,3716
Dallas Baptist University,"Dallas, TX",214,"At Dallas Baptist University, or DBU, faith is integrated into academics and campus life. The university is divided into academic departments such as the College of Christian Faith and the College of Natural Sciences and Mathematics. The Baptist Student Ministries organizes events, Bible studies, and mission trips, and students can also worship at weekly men's and women's Bible studies meetings; university events such as an annual conference called ""livepure"" and more. The DBU Patriots sports teams compete in the NCAA Division II Heartland Conference and are particularly dominant in baseball. For fun off campus, downtown Dallas is about 15 miles away. Notable alumni of Dallas Baptist University include Christian music artists Chris Clayton and Kari Jobe and former St. Louis Cardinals catcher Jason LaRue. ",26.18,,3315
Northern Illinois University,"DeKalb, IL",214,"Northern Illinois University is located about 65 miles west of Chicago in the city of DeKalb. Graduate students can choose from about 80 master's degrees, including those offered by the colleges of business and law and the highly ranked Division of Public Administration. Undergraduates can choose from about 60 academic majors and participate in the Research Rookies program, which gives freshmen and sophomores a chance to conduct research in their field of study under faculty guidance. Many students at Northern Illinois University choose to study abroad, and the school offers programs for academic credit in about 75 countries. On campus, Northern Illinois students can join more than 200 clubs and about 40 Greek-letter organizations. The university is also home to numerous varsity athletic teams, which compete in the NCAA Division I Mid-American Conference. The NIU sports teams are known as the Huskies, but that hasn't always been the case. They were called the Teachers and the Profs in the school's early days as a teachers college, and they have been nicknamed the Cardinals and the Northerners as well. Notable NIU alumni include Dan Castellaneta, who voices Homer Simpson and several other characters on the animated television show ""The Simpsons. ",23.799,14.334,15027
Nova Southeastern University,"Ft. Lauderdale, FL",214,"Founded in 1964, Nova Southeastern University is a private institution. The school has 78.2 percent of its classes with fewer than 20 students, and the student-faculty ratio at Nova Southeastern University is 16:1. ",27.66,,4641
Southern Illinois University--Carbondale,"Carbondale, IL",214,"Founded in 1869, Southern Illinois University--Carbondale is a public institution. Southern Illinois University--Carbondale offers a Greek system, where 5 percent of the student body is involved in a sorority and 4 percent is involved in a fraternity. ",27.13,13.481,13031
University of Montana,"Missoula, MT",214,"The University of Montana campus in Missoula is situated by the Clark Fork River, near Mount Sentinel in the western part of the state. Students at the University of Montana can choose from numerous academic programs, including graduate degrees in the Phyllis J. Washington College of Education and Human Sciences, and in the schools of business and law. University of Montana students can also earn course credit by interning with the school's Program in Ecological Agriculture and Society (PEAS). During the internship, students work on the university's 10-acre farm, which produces crops for emergency food shelters. The university, which is often abbreviated to UM, also offers many academic programs and student organizations that focus on American Indian culture. Outside the classroom, students can join more than 150 clubs, Greek life and intramural and club sports teams. More serious athletes can try out for the Montana Griz (as in Grizzlies) varsity teams, which compete in the NCAA Division I Big Sky Conference. Notable UM alumni include Carroll O'Connor, who starred as Archie Bunker in the television show ""All in the Family""; Colin Meloy, the lead singer of The Decemberists; and actor J.K. Simmons, who has appeared in the ""Law & Order"" television show and in the ""Spider-Man"" movies. ",24.562,6.446,8732
Benedictine University,"Lisle, IL",220,"Founded in 1887, Benedictine University is a private institution. The school has 70.7 percent of its classes with fewer than 20 students, and the student-faculty ratio at Benedictine University is 12:1. ",32.17,,3347
California State University--Fresno,"Fresno, CA",220,"California State University--Fresno is located at the foot of the Sierra Nevada range in the middle of the state. Although the university, commonly known as Fresno State, began as a teachers college, it now offers bachelor's degrees in more than 60 areas of study. Graduate students can choose from more than 40 master's degree programs, including those in the Craig School of Business. Outside the classroom, many Fresno State students take in the natural beauty of the campus and surrounding region, including the San Joaquin Valley, as well as Yosemite National Park, which is only about 60 miles away. Students at Fresno State can also spend a weekend exploring the city life of San Francisco and Los Angeles, which are each about 200 miles from campus. The city of Fresno has much to offer as well, such as theaters, malls, and restaurants. On campus, Fresno State students can join more than 200 organizations and play for the Fresno State Bulldogs varsity sports teams, which compete in the NCAA Division I Western Athletic Conference. ",17.209,6.313,21482
Gardner-Webb University,"Boiling Springs, NC",220,"Founded in 1905, Gardner-Webb University is a private institution. Gardner-Webb University follows a semester-based academic calendar and its admissions are considered selective. ",29.85,,2615
New Mexico State University,"Las Cruces, NM",220,"There are five New Mexico State University locations, with the main campus situated in Las Cruces, about 50 miles north of the Mexican border. Undergraduates at NMSU can choose from nearly 90 bachelor's degrees, and graduate students can pursue more than 50 master's programs, including those in the colleges of business, engineering and education. Freshmen who are eligible for NMSU's honors program can take small, specialized classes called ""Journeys of Discovery."" The university is also home to the Chile Pepper Institute, an organization that researches and promotes the state vegetable. Students at NM State, as it is also known, can get involved on campus by joining more than 200 organizations, pledging with about 20 fraternities and sororities, and running for student government. Student athletes can play at the recreational level or try out for the New Mexico State Aggies varsity teams, which mainly compete in the NCAA Division I Western Athletic Conference. ",21.234,6.729,12526
Shenandoah University,"Winchester, VA",220,"Shenandoah University is a private institution that was founded in 1875. It has a total undergraduate enrollment of 2,010, its setting is city, and the campus size is 315 acres. It utilizes a semester-based academic calendar. Shenandoah University's ranking in the 2017 edition of Best Colleges is National Universities, 220. Its tuition and fees are $31,322 (2016-17).",31.322,,2010
Tennessee Technological University,"Cookeville, TN",220,"Founded in 1915, Tennessee Technological University is a public institution. Tennessee Technological University follows a semester-based academic calendar and its admissions are considered more selective. ",24.8,16.311,9801
University of Massachusetts--Boston,"Boston, MA",220,"Founded in 1964, University of Massachusetts--Boston is a public institution. University of Massachusetts--Boston follows a semester-based academic calendar and its admissions are considered selective. ",32.023,13.435,12949
University of Massachusetts--Dartmouth,"North Dartmouth, MA",220,"Located about 60 miles south of Boston, the University of Massachusetts--Dartmouth offers more than 50 fields of undergraduate study. Graduate students can choose from more than 35 master's degree programs, including those in the Charlton College of Business, the College of Engineering and the College of Nursing. The university, often called UMass Dartmouth, also offers a ranked fine arts program in its College of Visual and Performing Arts. Outside the classroom, UMass Dartmouth students can get involved through more than 100 campus clubs, about 10 Greek organizations and student government. Students can also explore campus media by checking out The Torch newspaper and the WUMD educational radio station. Student athletes can play at the recreational level or join the UMass Dartmouth Corsairs varsity teams, which mainly compete in the NCAA Division III Little East Conference. Notable University of Massachusetts--Dartmouth alumni include screenwriter and director Brian Helgeland, who won an Academy Award for the ""L.A. Confidential"" screenplay. ",19.27,12.588,7295
University of Missouri--St. Louis,"St. Louis, MO",220,"Undergraduates at University of Missouri--St. Louis can choose from about 50 bachelor's degree programs. Some may qualify to enroll in the Pierre Laclede Honors College, which offers a more challenging curriculum, smaller class sizes and a writing project that ends in a senior capstone. Graduate students can pursue about 30 master's programs, including the highly ranked criminology program, as well as business and education, among others. On campus, UMSL students can get involved in more than 120 organizations, including fraternities and sororities and student government. UMSL students can also explore campus media opportunities by becoming a DJ on The U radio station or by writing for The Current newspaper. Student athletes can play recreational sports or try out for the UMSL Tritons varsity teams, which compete in the NCAA Division II Great Lakes Valley Conference. Notable alumni include Gary Belsky, former editor-in-chief of ""ESPN The Magazine,"" and actress Phyllis Smith, who appeared on NBC's ""The Office. ",26.277,10.065,13569
University of North Carolina--Greensboro,"Greensboro, NC",220,"University of North Carolina--Greensboro is located in the central part of the state, about midway between Washington and Atlanta. Undergraduates at UNCG can choose from more than 100 academic programs, and graduate students can choose from more than 60 degree programs, including those in the Bryan School of Business and Economics and the renowned student counseling and personnel services program in the School of Education. UNCG also offers highly ranked master's programs in the fields of health and library and information studies. Outside the classroom, University of North Carolina--Greensboro students can get involved by joining about 200 organizations, including numerous fraternities and sororities. Each year, there are many campus events for students to attend, including the New Music Festival. Student athletes can play at the intramural and club levels or try out for the UNCG Spartans varsity sports teams, which compete in the NCAA Division I Southern Conference. Notable alumni include Pulitzer Prize-winning poet Claudia Emerson and Tony Award-winning actress Beth Leavel. ",21.595,6.733,15951
University of Southern Mississippi,"Hattiesburg, MS",220,"The University of Southern Mississippi has two campuses: a main location in Hattiesburg and a complex in Long Beach known as Southern Miss Gulf Coast. In Hattiesburg, there are more than 280 student organizations to check out, as well as annual events such as Crawfish Fest. About 20 percent of students join fraternities and sororities, and participating upperclassmen can live in Greek housing: Fraternity Row for men and a gated community called The Village for women. First-year students live in the Freshman Quad, a housing area next to the football stadium. Football games are a popular outlet on campus, kicking off with Friday Night at the Fountain, a pep rally the night before each home game, and the Eagle Walk parade a few hours before each match. Southern Miss Golden Eagles sports teams compete in the NCAA Division I Conference USA. Graduate students may enroll in programs through the Southern Miss College of Business, the College of Education and Psychology, the School of Criminal Justice and . Notable Southern Miss alumni include NFL quarterback Brett Favre and musician Jimmy Buffett. ",16.094,7.224,11840
Utah State University,"Logan, UT",220,"Founded in 1888, Utah State University is a public institution. Utah State University offers a Greek system, where 2 percent of the student body is involved in a sorority and 2 percent is involved in a fraternity. ",19.772,6.866,25259
