fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2017,"Funds, Subfunds and Other",Debt Service,UTGO Debt Service,UTGO - Bond Interest and Redemption,General Fund,Tax-Supported Fund,Operating Expense,UTGO - Bond Interest and Redemption,0,31181340
2017,Health & Human Services,Department of Education and Early Learning,Director's Office,Director's Office,General Fund,Tax-Supported Fund,Operating Expense,Director's Office,0,2364306
2017,Health & Human Services,Department of Education and Early Learning,Early Learning,Early Learning,General Fund,Tax-Supported Fund,Operating Expense,Early Learning,0,33110489
2017,Health & Human Services,Department of Education and Early Learning,Finance and Administration,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,2758056
2017,Health & Human Services,Department of Education and Early Learning,K-12,K-12,General Fund,Tax-Supported Fund,Operating Expense,K-12,0,26633986
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Duwamish River Opportunity Fund,General Fund,Tax-Supported Fund,Operating Expense,Duwamish River Opportunity Fund,0,250000
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Find It Fix It,General Fund,Tax-Supported Fund,Operating Expense,Find It Fix It,0,30000
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Historic Preservation-Community Building,General Fund,Tax-Supported Fund,Operating Expense,Historic Preservation-Community Building,0,885885
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Housing Affordability and Livability Agenda,General Fund,Tax-Supported Fund,Operating Expense,Housing Affordability and Livability Agenda,0,317584
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Major Institutions and Schools,General Fund,Tax-Supported Fund,Operating Expense,Major Institutions and Schools,0,210013
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Neighborhood District Coordinators,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood District Coordinators,0,1261591
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Participatory Budgeting/Seattle Youth Commission,General Fund,Tax-Supported Fund,Operating Expense,Participatory Budgeting/Seattle Youth Commission,0,111950
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,People's Academy for Community  Engagement,General Fund,Tax-Supported Fund,Operating Expense,People's Academy for Community  Engagement,0,127260
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,P-Patch Community Gardens,General Fund,Tax-Supported Fund,Operating Expense,P-Patch Community Gardens,0,890372
2017,Neighborhoods & Development,Department of Neighborhoods,Community Building,Public Outreach and Engagement Liaisons,General Fund,Tax-Supported Fund,Operating Expense,Public Outreach and Engagement Liaisons,0,472061
2017,Neighborhoods & Development,Department of Neighborhoods,Executive Leadership and Administration,Communications,General Fund,Tax-Supported Fund,Operating Expense,Communications,0,232405
2017,Neighborhoods & Development,Department of Neighborhoods,Executive Leadership and Administration,Executive Leadership,General Fund,Tax-Supported Fund,Operating Expense,Executive Leadership,0,1288177
2017,Neighborhoods & Development,Department of Neighborhoods,Executive Leadership and Administration,Internal Operations/Administration,General Fund,Tax-Supported Fund,Operating Expense,Internal Operations/Administration,0,1388752
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Environmental Learning and Programs,Environmental Learning and Programs,General Fund,Tax-Supported Fund,Operating Expense,Environmental Learning and Programs,0,1253577
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Facility and Structure Maintenance,Facility and Structure Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Facility and Structure Maintenance,0,17702836
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Finance and Administration,Finance and Administration,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administration,0,16728051
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Golf,Golf,General Fund,Tax-Supported Fund,Operating Expense,Golf,0,12112505
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Judgment and Claims,Judgment and Claims,General Fund,Tax-Supported Fund,Operating Expense,Judgment and Claims,0,667792
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Natural Resources Management,Natural Resources Management,General Fund,Tax-Supported Fund,Operating Expense,Natural Resources Management,0,9527985
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,"Park Cleaning, Landscaping, and Restoration","Park Cleaning, Landscaping, and Restoration",General Fund,Tax-Supported Fund,Operating Expense,"Park Cleaning, Landscaping, and Restoration",0,34351013
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,"Planning, Development, and Acquisition","Planning, Development, and Acquisition",General Fund,Tax-Supported Fund,Operating Expense,"Planning, Development, and Acquisition",0,7574518
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Policy Direction and Leadership,Policy Direction and Leadership,General Fund,Tax-Supported Fund,Operating Expense,Policy Direction and Leadership,0,4796567
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Recreation Facilities and Programs,Recreation Facilities and Programs,General Fund,Tax-Supported Fund,Operating Expense,Recreation Facilities and Programs,0,30550520
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Regional Parks and Strategic Outreach,Regional Parks and Strategic Outreach,General Fund,Tax-Supported Fund,Operating Expense,Regional Parks and Strategic Outreach,0,6379638
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Seattle Conservation Corps,Seattle Conservation Corps,General Fund,Tax-Supported Fund,Operating Expense,Seattle Conservation Corps,0,4708169
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,"Swimming, Boating, and Aquatics","Swimming, Boating, and Aquatics",General Fund,Tax-Supported Fund,Operating Expense,"Swimming, Boating, and Aquatics",0,10039609
2017,"Arts, Culture & Recreation",Department of Parks and Recreation,Woodland Park Zoo,Woodland Park Zoo,General Fund,Tax-Supported Fund,Operating Expense,Woodland Park Zoo,0,7087909
2017,Health & Human Services,Education-Support Services Levy,Administration and Evaluation,Administration and Evaluation,General Fund,Tax-Supported Fund,Operating Expense,Administration and Evaluation,0,1580113
2017,Health & Human Services,Education-Support Services Levy,Early Learning and School Readiness,Early Learning and School Readiness,General Fund,Tax-Supported Fund,Operating Expense,Early Learning and School Readiness,0,10173386
2017,Health & Human Services,Education-Support Services Levy,Elementary School Academic Achievement,Elementary School Academic Achievement,General Fund,Tax-Supported Fund,Operating Expense,Elementary School Academic Achievement,0,9484236
2017,Health & Human Services,Education-Support Services Levy,High School Academic Achievement and College/Career Preparation,High School Academic Achievement and College/Career Preparation,General Fund,Tax-Supported Fund,Operating Expense,High School Academic Achievement and College/Career Preparation,0,3182517
2017,Health & Human Services,Education-Support Services Levy,Middle School Academic Achievement and College/Career Preparation,Middle School Academic Achievement and College/Career Preparation,General Fund,Tax-Supported Fund,Operating Expense,Middle School Academic Achievement and College/Career Preparation,0,7184799
2017,Health & Human Services,Education-Support Services Levy,Student Health,Student Health,General Fund,Tax-Supported Fund,Operating Expense,Student Health,0,6656729
2017,Administration,Ethics and Elections Commission,Election Vouchers,Election Vouchers,General Fund,Tax-Supported Fund,Operating Expense,Election Vouchers,0,4281316
2017,Administration,Ethics and Elections Commission,Ethics and Elections,Ethics and Elections,General Fund,Tax-Supported Fund,Operating Expense,Ethics and Elections,0,723675
2017,Administration,Department of Finance and Administrative Services,Budget and Central Services,Budget and Central Services,General Fund,Tax-Supported Fund,Operating Expense,Budget and Central Services,0,15211137
2017,Administration,Department of Finance and Administrative Services,Central Waterfront Improvement Program Financial Support,FAS CWF Finance,General Fund,Tax-Supported Fund,Operating Expense,FAS CWF Finance,0,1099000
2017,Administration,Department of Finance and Administrative Services,City Finance Division,Accounting,General Fund,Tax-Supported Fund,Operating Expense,Accounting,0,10562859
2017,Administration,Department of Finance and Administrative Services,City Finance Division,Business Licensing and Tax Administration,General Fund,Tax-Supported Fund,Operating Expense,Business Licensing and Tax Administration,0,3717446
2017,Administration,Department of Finance and Administrative Services,City Finance Division,City Financial Management,General Fund,Tax-Supported Fund,Operating Expense,City Financial Management,0,1778394
2017,Administration,Department of Finance and Administrative Services,City Finance Division,Risk Management,General Fund,Tax-Supported Fund,Operating Expense,Risk Management,0,1375185
2017,Administration,Department of Finance and Administrative Services,City Finance Division,Treasury,General Fund,Tax-Supported Fund,Operating Expense,Treasury,0,4690708
2017,Administration,Department of Finance and Administrative Services,City Purchasing and Contracting Services,Contracting Services,General Fund,Tax-Supported Fund,Operating Expense,Contracting Services,0,4199618
2017,Administration,Department of Finance and Administrative Services,City Purchasing and Contracting Services,Purchasing Services,General Fund,Tax-Supported Fund,Operating Expense,Purchasing Services,0,2605730
2017,Administration,Department of Finance and Administrative Services,Facility Services,Facility Services,General Fund,Tax-Supported Fund,Operating Expense,Facility Services,0,78705818
2017,Administration,Department of Finance and Administrative Services,FileLocal Agency,FAS FileLocal Agency,General Fund,Tax-Supported Fund,Operating Expense,FAS FileLocal Agency,0,363952
2017,Administration,Department of Finance and Administrative Services,Fleet Capital Program,Fleet Capital Program,General Fund,Tax-Supported Fund,Operating Expense,Fleet Capital Program,0,21829848
2017,Administration,Department of Finance and Administrative Services,Fleet Services,Vehicle Fueling,General Fund,Tax-Supported Fund,Operating Expense,Vehicle Fueling,0,10582509
2017,Administration,Department of Finance and Administrative Services,Fleet Services,Vehicle Leasing,General Fund,Tax-Supported Fund,Operating Expense,Vehicle Leasing,0,2070820
2017,Administration,Department of Finance and Administrative Services,Fleet Services,Vehicle Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Vehicle Maintenance,0,20733077
2017,Administration,Department of Finance and Administrative Services,Office of Constituent Services,Office of Constituent Services,General Fund,Tax-Supported Fund,Operating Expense,Office of Constituent Services,0,4633381
2017,Administration,Department of Finance and Administrative Services,Regulatory Compliance and Consumer Protection,Regulatory Compliance and Consumer Protection,General Fund,Tax-Supported Fund,Operating Expense,Regulatory Compliance and Consumer Protection,0,7562313
2017,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,Seattle Animal Shelter,General Fund,Tax-Supported Fund,Operating Expense,Seattle Animal Shelter,0,4289787
2017,Administration,Department of Finance and Administrative Services,Technical Services,Capital Development and Construction Management,General Fund,Tax-Supported Fund,Operating Expense,Capital Development and Construction Management,0,4547091
2017,Administration,Department of Finance and Administrative Services,Wheelchair Accessible Services Program,Wheelchair Accessible Services Program,General Fund,Tax-Supported Fund,Operating Expense,Wheelchair Accessible Services Program,0,1487808
2017,"Funds, Subfunds and Other",Fiber Leasing Fund,Fiber Leasing Fund,Fiber Leasing Fund,General Fund,Tax-Supported Fund,Operating Expense,Fiber Leasing Fund,0,155000
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Arts Account,General Fund,Tax-Supported Fund,Operating Expense,Arts Account,0,9214128
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,0,2777744
2017,Administration,Finance General,Support to Operating Funds,Library Fund,General Fund,Tax-Supported Fund,Operating Expense,Library Fund,0,52321519
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,General Fund,Tax-Supported Fund,Operating Expense,Emergency Subfund,0,1697861
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,0,27944843
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,General Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,0,15718000
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,General Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,0,21169544
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Insurance,General Fund,Tax-Supported Fund,Operating Expense,Insurance,0,5352200
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,General Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Subfund,0,416819
2017,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,School Safety Traffic and Pedestrian Improvement Fund,General Fund,Tax-Supported Fund,Operating Expense,School Safety Traffic and Pedestrian Improvement Fund,0,425000
2017,Administration,Finance General,Reserves,City LEAD Multi-Disciplinary Team (MDT) Reserve,General Fund,Tax-Supported Fund,Operating Expense,City LEAD Multi-Disciplinary Team (MDT) Reserve,0,170000
2017,Administration,Finance General,Reserves,Department of Justice Settlement Agreement/Police Accountability,General Fund,Tax-Supported Fund,Operating Expense,Department of Justice Settlement Agreement/Police Accountability,0,3156531
2017,Administration,Finance General,Reserves,Family Leave Reserve,General Fund,Tax-Supported Fund,Operating Expense,Family Leave Reserve,0,2000000
2017,Administration,Finance General,Reserves,Fire Station 39 Housing Services,General Fund,Tax-Supported Fund,Operating Expense,Fire Station 39 Housing Services,0,475000
2017,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,General Fund,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,0,34937
2017,Administration,Finance General,Reserves,Lambert House,General Fund,Tax-Supported Fund,Operating Expense,Lambert House,0,100000
2017,Administration,Finance General,Reserves,Mercer Teardrop Sale Study,General Fund,Tax-Supported Fund,Operating Expense,Mercer Teardrop Sale Study,0,100000
2017,Administration,Finance General,Reserves,Recurring Reserve for Portable Art Rental and Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve for Portable Art Rental and Maintenance,0,310154
2017,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,0,900000
2017,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,0,8512000
2017,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,0,120000
2017,Administration,Finance General,Reserves,Recurring Reserve-Police Intelligence Officer,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Police Intelligence Officer,0,15000
2017,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,0,640000
2017,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,0,878416
2017,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,12500000
2017,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,4017513
2017,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration and Pamphlet,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration and Pamphlet,0,1500000
2017,Administration,Finance General,Reserves,Seattle Indian Services Commission Debt Service Payment,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission Debt Service Payment,0,442000
2017,Administration,Finance General,Reserves,Tax Refund Interest Reserve,General Fund,Tax-Supported Fund,Operating Expense,Tax Refund Interest Reserve,0,775000
2017,Administration,Finance General,Support to Operating Funds,Construction and Inspections Fund,General Fund,Tax-Supported Fund,Operating Expense,Construction and Inspections Fund,0,6537989
2017,Administration,Finance General,Support to Operating Funds,Department of Education Fund,General Fund,Tax-Supported Fund,Operating Expense,Department of Education Fund,0,8628893
2017,Administration,Finance General,Support to Operating Funds,Drainage and Wastewater Fund,General Fund,Tax-Supported Fund,Operating Expense,Drainage and Wastewater Fund,0,968370
2017,Administration,Finance General,Support to Operating Funds,Firefighters Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,0,18787000
2017,Administration,Finance General,Support to Operating Funds,Housing Operating Fund-Supp to Op Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund-Supp to Op Fund,0,138950
2017,Administration,Finance General,Support to Operating Funds,Human Services Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Human Services Operating Fund,0,88875739
2017,Administration,Finance General,Support to Operating Funds,Neighborhood Matching Subfund,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Matching Subfund,0,3044195
2017,Administration,Finance General,Support to Operating Funds,Parks and Recreation Fund,General Fund,Tax-Supported Fund,Operating Expense,Parks and Recreation Fund,0,103217523
2017,Administration,Finance General,Support to Operating Funds,Police Relief and Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,0,21313000
2017,Administration,Finance General,Support to Operating Funds,Seattle Center Fund,General Fund,Tax-Supported Fund,Operating Expense,Seattle Center Fund,0,13044011
2017,Administration,Finance General,Support to Operating Funds,Solid Waste Fund,General Fund,Tax-Supported Fund,Operating Expense,Solid Waste Fund,0,8405612
2017,Administration,Finance General,Support to Operating Funds,Transportation Fund,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund,0,46058162
2017,Public Safety,Firefighter's Pension,Firefighters' Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,670000
2017,Public Safety,Firefighter's Pension,Firefighters' Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,17000
2017,Public Safety,Firefighter's Pension,Firefighters' Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,11400000
2017,Public Safety,Firefighter's Pension,Firefighters' Pension,Pensions,General Fund,Tax-Supported Fund,Operating Expense,Pensions,0,8000000
2017,Health & Human Services,Human Services Department,Aging and Disability Services - Area Agency on Aging,Healthy Aging,General Fund,Tax-Supported Fund,Operating Expense,Healthy Aging,0,10670539
2017,Health & Human Services,Human Services Department,Aging and Disability Services - Area Agency on Aging,Home-Based Care,General Fund,Tax-Supported Fund,Operating Expense,Home-Based Care,0,24935652
2017,Health & Human Services,Human Services Department,Aging and Disability Services - Area Agency on Aging,Mayor's Office on Senior Citizens,General Fund,Tax-Supported Fund,Operating Expense,Mayor's Office on Senior Citizens,0,604163
2017,Health & Human Services,Human Services Department,Aging and Disability Services - Area Agency on Aging,Planning and Coordination,General Fund,Tax-Supported Fund,Operating Expense,Planning and Coordination,0,3593147
2017,Health & Human Services,Human Services Department,CDBG - Human Services Department,Homeless Intervention,General Fund,Tax-Supported Fund,Operating Expense,Homeless Intervention,0,3961545
2017,Health & Human Services,Human Services Department,CDBG - Human Services Department,Leadership and Corporate Services,General Fund,Tax-Supported Fund,Operating Expense,Leadership and Corporate Services,0,1047706
2017,Health & Human Services,Human Services Department,Division of Homeless Strategy and Investment,CDBG Administration,General Fund,Tax-Supported Fund,Operating Expense,CDBG Administration,0,2118569
2017,Health & Human Services,Human Services Department,Division of Homeless Strategy and Investment,Homeless Strategy and Investments,General Fund,Tax-Supported Fund,Operating Expense,Homeless Strategy and Investments,0,53930705
2017,Health & Human Services,Human Services Department,Leadership and Administration,Compliance Unit,General Fund,Tax-Supported Fund,Operating Expense,Compliance Unit,0,326236
2017,Health & Human Services,Human Services Department,Leadership and Administration,Data Integrity,General Fund,Tax-Supported Fund,Operating Expense,Data Integrity,0,1919686
2017,Health & Human Services,Human Services Department,Leadership and Administration,Financial Management,General Fund,Tax-Supported Fund,Operating Expense,Financial Management,0,3351940
2017,Health & Human Services,Human Services Department,Leadership and Administration,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,985677
2017,Health & Human Services,Human Services Department,Leadership and Administration,Leadership,General Fund,Tax-Supported Fund,Operating Expense,Leadership,0,3435018
2017,Health & Human Services,Human Services Department,Leadership and Administration,Mayor's Office on Domestic Violence and Sexual Assault Prevention,General Fund,Tax-Supported Fund,Operating Expense,Mayor's Office on Domestic Violence and Sexual Assault Prevention,0,6413740
2017,Health & Human Services,Human Services Department,Public Health Services,Alcohol and Other Drugs,General Fund,Tax-Supported Fund,Operating Expense,Alcohol and Other Drugs,0,1590416
2017,Health & Human Services,Human Services Department,Public Health Services,Asthma,General Fund,Tax-Supported Fund,Operating Expense,Asthma,0,141046
2017,Health & Human Services,Human Services Department,Public Health Services,Gun Violence Prevention Program,General Fund,Tax-Supported Fund,Operating Expense,Gun Violence Prevention Program,0,51000
2017,Health & Human Services,Human Services Department,Public Health Services,Health Care Access,General Fund,Tax-Supported Fund,Operating Expense,Health Care Access,0,387816
2017,Health & Human Services,Human Services Department,Public Health Services,Health Care for the Homeless,General Fund,Tax-Supported Fund,Operating Expense,Health Care for the Homeless,0,1677765
2017,Health & Human Services,Human Services Department,Public Health Services,HIV/AIDS,General Fund,Tax-Supported Fund,Operating Expense,HIV/AIDS,0,950887
2017,Health & Human Services,Human Services Department,Public Health Services,Oral Health,General Fund,Tax-Supported Fund,Operating Expense,Oral Health,0,137126
2017,Health & Human Services,Human Services Department,Public Health Services,Primary Care: Medical and Dental,General Fund,Tax-Supported Fund,Operating Expense,Primary Care: Medical and Dental,0,7541537
2017,Health & Human Services,Human Services Department,Youth and Family Empowerment,Access to Benefits,General Fund,Tax-Supported Fund,Operating Expense,Access to Benefits,0,1919868
2017,Health & Human Services,Human Services Department,Youth and Family Empowerment,Access to Food and Meals,General Fund,Tax-Supported Fund,Operating Expense,Access to Food and Meals,0,6808596
2017,Health & Human Services,Human Services Department,Youth and Family Empowerment,Youth Services,General Fund,Tax-Supported Fund,Operating Expense,Youth Services,0,18253711
2017,Administration,Office of the Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,General Fund,Tax-Supported Fund,Operating Expense,Office of Hearing Examiner,0,705415
2017,"Funds, Subfunds and Other",Judgment/Claims Subfund,Claim Expenses,Claim Expenses,General Fund,Tax-Supported Fund,Operating Expense,Claim Expenses,0,3785792
2017,"Funds, Subfunds and Other",Judgment/Claims Subfund,General Legal Expenses,General Litigation,General Fund,Tax-Supported Fund,Operating Expense,General Litigation,0,94878
2017,"Funds, Subfunds and Other",Judgment/Claims Subfund,Litigation Expenses,Settlement and Judgment Expenses,General Fund,Tax-Supported Fund,Operating Expense,Settlement and Judgment Expenses,0,11265018
2017,"Funds, Subfunds and Other",Judgment/Claims Subfund,Police Action Expenses,Police Action Expenses,General Fund,Tax-Supported Fund,Operating Expense,Police Action Expenses,0,1204128
2017,Administration,Law Department,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,2497927
2017,Administration,Law Department,Civil,Civil,General Fund,Tax-Supported Fund,Operating Expense,Civil,0,15428937
2017,Administration,Law Department,Criminal,Criminal,General Fund,Tax-Supported Fund,Operating Expense,Criminal,0,8065707
2017,Administration,Law Department,Precinct Liaison Attorneys,Precinct Liaison Program,General Fund,Tax-Supported Fund,Operating Expense,Precinct Liaison Program,0,843809
2017,Administration,Legislative Department,Legislative Department,Central Staff,General Fund,Tax-Supported Fund,Operating Expense,Central Staff,0,3657535
2017,Administration,Legislative Department,Legislative Department,City Clerk,General Fund,Tax-Supported Fund,Operating Expense,City Clerk,0,3489240
2017,Administration,Legislative Department,Legislative Department,City Council,General Fund,Tax-Supported Fund,Operating Expense,City Council,0,6283855
2017,Administration,Legislative Department,Legislative Department,General Expense,General Fund,Tax-Supported Fund,Operating Expense,General Expense,0,2257320
2017,Administration,Office of the Mayor,Office of the Mayor,Office of the Mayor,General Fund,Tax-Supported Fund,Operating Expense,Office of the Mayor,0,6572417
2017,Neighborhoods & Development,Neighborhood Matching Fund,Neighborhood Matching Fund,Large Projects Fund,General Fund,Tax-Supported Fund,Operating Expense,Large Projects Fund,0,1544512
2017,Neighborhoods & Development,Neighborhood Matching Fund,Neighborhood Matching Fund,Management and Project Development,General Fund,Tax-Supported Fund,Operating Expense,Management and Project Development,0,1090138
2017,Neighborhoods & Development,Neighborhood Matching Fund,Neighborhood Matching Fund,Small and Simple Projects Fund,General Fund,Tax-Supported Fund,Operating Expense,Small and Simple Projects Fund,0,1490244
2017,Neighborhoods & Development,Neighborhood Matching Fund,Neighborhood Matching Fund,Small Sparks Fund,General Fund,Tax-Supported Fund,Operating Expense,Small Sparks Fund,0,67609
2017,Administration,Office of Civil Rights,Civil Rights,Civil Rights,General Fund,Tax-Supported Fund,Operating Expense,Civil Rights,0,3988251
2017,Neighborhoods & Development,Office of Economic Development,CDBG - Office of Economic Development,Economic Development,General Fund,Tax-Supported Fund,Operating Expense,Economic Development,0,1438272
2017,Neighborhoods & Development,Office of Economic Development,Office of Economic Development,Business Services,General Fund,Tax-Supported Fund,Operating Expense,Business Services,0,7628223
2017,Neighborhoods & Development,Office of Economic Development,Office of Economic Development,Economic Development Leadership,General Fund,Tax-Supported Fund,Operating Expense,Economic Development Leadership,0,556519
2017,Neighborhoods & Development,Office of Economic Development,Office of Economic Development,Finance and Operations,General Fund,Tax-Supported Fund,Operating Expense,Finance and Operations,0,836262
2017,Neighborhoods & Development,Office of Housing,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,General Fund,Tax-Supported Fund,Operating Expense,Homeownership and Sustainability - CDBG,0,826191
2017,Neighborhoods & Development,Office of Housing,CDBG - Office of Housing,Multi-Family Production and Preservation - CDBG,General Fund,Tax-Supported Fund,Operating Expense,Multi-Family Production and Preservation - CDBG,0,748257
2017,Neighborhoods & Development,Office of Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development - CDBG",General Fund,Tax-Supported Fund,Operating Expense,"Strategic Planning, Resource, and Program Development - CDBG",0,152397
2017,Neighborhoods & Development,Office of Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,General Fund,Tax-Supported Fund,Operating Expense,Homeownership and Sustainability - 16400,0,7387325
2017,Neighborhoods & Development,Office of Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,General Fund,Tax-Supported Fund,Operating Expense,Multi-Family Production and Preservation - 16400,0,52429721
2017,Neighborhoods & Development,Office of Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,General Fund,Tax-Supported Fund,Operating Expense,Administration and Management - 16600,0,2879363
2017,Neighborhoods & Development,Office of Housing,Office of Housing Operating Fund 16600,Community Development - 16600,General Fund,Tax-Supported Fund,Operating Expense,Community Development - 16600,0,910602
2017,Neighborhoods & Development,Office of Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,General Fund,Tax-Supported Fund,Operating Expense,Homeownership and Sustainability - 16600,0,1387066
2017,Neighborhoods & Development,Office of Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,General Fund,Tax-Supported Fund,Operating Expense,Multi-Family Production and Preservation - 16600,0,1381810
2017,Administration,Office of Intergovernmental Relations,Intergovernmental Relations,Intergovernmental Relations,General Fund,Tax-Supported Fund,Operating Expense,Intergovernmental Relations,0,2913827
2017,Administration,Office of Immigrant and Refugee Affairs,CDBG - Office of Immigrant and Refugee Affairs,CDBG - Office of Immigrant and Refugee Affairs,General Fund,Tax-Supported Fund,Operating Expense,CDBG - Office of Immigrant and Refugee Affairs,0,400000
2017,Administration,Office of Immigrant and Refugee Affairs,Office of Immigrant and Refugee Affairs,Office of Immigrant and Refugee Affairs,General Fund,Tax-Supported Fund,Operating Expense,Office of Immigrant and Refugee Affairs,0,2281544
2017,Administration,Office of Labor Standards,Office of Labor Standards,Labor Standards,General Fund,Tax-Supported Fund,Operating Expense,Labor Standards,0,5271785
2017,Neighborhoods & Development,Office of Planning and Community Development,Planning and Community Development,Design Commission,General Fund,Tax-Supported Fund,Operating Expense,Design Commission,0,501890
2017,Neighborhoods & Development,Office of Planning and Community Development,Planning and Community Development,Planning,General Fund,Tax-Supported Fund,Operating Expense,Planning,0,6694933
2017,Neighborhoods & Development,Office of Planning and Community Development,Planning and Community Development,Planning Commission,General Fund,Tax-Supported Fund,Operating Expense,Planning Commission,0,445962
